city,date,fare,ride_id
New Paulville,4/3/19 7:51,32.7,5739410000000
Simpsonburgh,1/19/19 23:06,15.83,5739410000000
Port Angela,4/17/19 6:23,16.34,5739410000000
West Ericstad,4/4/19 13:03,28.52,5739410000000
New Kimberlyborough,3/16/19 1:38,17.19,5739410000000
Joneschester,1/30/19 17:41,36.78,5739410000000
North Markport,4/26/19 4:45,44.37,5739410000000
Hurleymouth,3/22/19 11:19,32.85,5739410000000
Barajasview,1/15/19 2:59,19.52,5739410000000
Grahamburgh,4/6/19 13:48,23.87,5739410000000
South Michelleport,3/2/19 9:54,33.12,5739410000000
Loganberg,1/7/19 19:02,16.26,5739410000000
West Christopherberg,3/18/19 17:14,12.64,5739410000000
Rogerston,2/23/19 19:13,14.04,5739410000000
Huntermouth,2/24/19 7:57,39.12,5739410000000
New Jacobville,2/9/19 2:17,7.11,5739410000000
Lake Jonathanshire,4/7/19 20:51,31.25,5739410000000
Port David,3/17/19 14:42,33.11,5739410000000
Martinezhaven,2/20/19 19:32,13.34,5739410000000
Port Frank,4/19/19 19:35,26.47,5739410000000
Valentineton,3/2/19 14:44,39.77,5739410000000
Hurleymouth,3/3/19 11:28,36.31,5739410000000
Carriemouth,2/25/19 8:26,32.37,5739410000000
Port Samanthamouth,4/16/19 18:34,9.2,5739410000000
Williamsstad,1/23/19 17:51,19.62,5739410000000
Royland,1/7/19 2:23,24.5,5739410000000
New Jacobville,1/5/19 5:02,34.11,5739410000000
Roberthaven,3/6/19 22:56,12.38,5739410000000
South Evanton,1/7/19 18:47,43.61,5739410000000
New Paulton,5/3/19 12:09,21.67,5739410000000
Karenberg,3/11/19 17:26,36.15,5739410000000
Rodneyfort,1/30/19 12:34,16.99,5739410000000
East Kaylahaven,4/4/19 2:35,23.18,5739410000000
Huntermouth,2/19/19 3:19,7.05,5739410000000
Barajasview,1/23/19 13:23,37.68,5739410000000
Williamsstad,3/29/19 21:43,35.58,5739410000000
North Jason,3/8/19 20:06,25.21,5739410000000
Christopherfurt,4/17/19 2:25,23.3,5739410000000
Liumouth,1/11/19 17:15,36.78,5739410000000
Johnton,1/17/19 2:12,32.19,5739410000000
West Angela,3/8/19 1:08,41.06,5739410000000
Jerryton,1/4/19 16:38,37.2,5739410000000
Erikaland,2/18/19 7:47,20.62,5739410000000
North Jason,2/7/19 7:27,20,5739410000000
Lake Scottton,5/5/19 11:21,18.77,5739410000000
Simpsonburgh,3/22/19 8:56,22.05,5739410000000
Raymondhaven,3/12/19 6:59,16.98,5739410000000
West Robert,4/5/19 3:18,44.58,5739410000000
North Jason,3/18/19 10:10,6.41,5739410000000
Port Samanthamouth,1/23/19 9:08,35.51,5739410000000
West Robert,1/21/19 17:21,27.11,5739410000000
Jerryton,1/5/19 15:36,37.91,5739410000000
Port Samanthamouth,2/3/19 7:07,18.03,5739410000000
Liumouth,1/15/19 7:55,14.55,5739410000000
West Heidi,4/3/19 3:16,24.76,5739410000000
Loganberg,1/21/19 16:26,22.86,5739410000000
Grahamburgh,2/17/19 9:54,30.25,5739410000000
Raymondhaven,5/6/19 23:22,25.76,5739410000000
Karenside,1/25/19 15:35,14.52,5739410000000
Port Frank,4/6/19 21:38,18.08,5739410000000
Leahton,4/2/19 17:39,22.76,5739410000000
Port Samanthamouth,4/22/19 3:32,29.67,5739410000000
Jerryton,4/13/19 21:47,32.08,5739410000000
West Patrickchester,3/7/19 15:47,23.66,5739410000000
West Samuelburgh,3/3/19 16:07,27.48,5739410000000
North Markport,3/31/19 13:58,29.41,5739410000000
West Angela,3/10/19 11:23,27.1,5739410000000
Grahamburgh,3/12/19 2:44,22.97,5739410000000
South Michelleport,1/8/19 9:38,23.77,5739410000000
East Kaylahaven,4/2/19 7:05,9.67,5739410000000
South Karenland,4/22/19 21:37,22.86,5739410000000
Lake Danielberg,2/24/19 12:05,9.63,5739410000000
Justinberg,4/26/19 8:41,8.83,5739410000000
Karenberg,4/29/19 20:54,28.41,5739410000000
South Phillip,2/9/19 16:46,7.89,5739410000000
North Madeline,4/5/19 18:23,29.69,5739410000000
New Kimberlyborough,5/1/19 13:56,22.59,5739410000000
South Jack,4/24/19 19:33,38.04,5739410000000
Erikaland,3/11/19 2:19,27.39,5739410000000
New Paulville,3/27/19 2:18,7.29,5739410000000
Hurleymouth,3/26/19 20:22,41.15,5739410000000
Liumouth,4/12/19 3:38,43.34,5739410000000
Deanville,5/1/19 21:53,8.28,5739410000000
Karenside,4/2/19 19:22,41.93,5739410000000
West Angela,1/30/19 18:08,19.13,5739410000000
Liumouth,2/1/19 20:17,24.81,5739410000000
Jerryton,3/27/19 12:48,13.29,5739410000000
South Phillip,5/4/19 9:10,28.3,5739410000000
Port Johnbury,4/27/19 16:22,25.67,5739410000000
Raymondhaven,2/8/19 23:57,5.7,5739410000000
Port David,3/7/19 18:37,42.04,5739410000000
Robertport,3/6/19 9:51,6.73,5739410000000
Loganberg,3/16/19 11:46,23.99,5739410000000
Karenside,4/19/19 10:17,36.01,5739410000000
Lake Jonathanshire,3/9/19 23:45,19.89,5739410000000
Pattyland,1/30/19 12:35,8.57,5739410000000
West Robert,4/13/19 6:56,32.94,5739410000000
Justinberg,4/12/19 5:27,17.03,5739410000000
West Josephberg,2/9/19 14:07,4.42,5739410000000
North Markport,1/21/19 11:49,27.68,5739410000000
Williamsview,1/9/19 15:24,44.46,5739410000000
Raymondhaven,2/1/19 5:51,13.86,5739410000000
South Latoya,2/12/19 16:32,30.22,5739410000000
Deanville,3/29/19 4:07,5.32,5739410000000
Amandaburgh,3/5/19 2:15,26.28,5739410000000
Jerryton,1/27/19 14:46,29.08,5739410000000
Deanville,3/24/19 0:26,30.55,5739410000000
West Anthony,1/23/19 12:32,23.24,5739410000000
West Anthony,2/24/19 6:14,39.2,5739410000000
West Heidi,3/30/19 10:46,22.41,5739410000000
Royland,1/1/19 3:46,7.57,5739410000000
South Latoya,3/2/19 6:06,10.35,5739410000000
Johnton,1/8/19 17:33,43.75,5739410000000
West Angela,1/30/19 18:46,32.31,5739410000000
Rodneyfort,1/8/19 0:29,29.4,5739410000000
Royland,1/2/19 20:08,10.19,5739410000000
New Paulville,1/31/19 5:32,20.8,5739410000000
Huntermouth,4/9/19 20:23,35.11,5739410000000
New Paulville,1/30/19 15:21,7.02,5739410000000
Justinberg,5/3/19 2:49,36.06,5739410000000
Port Angela,3/31/19 15:22,30.77,5739410000000
Port Angela,4/9/19 14:34,11.9,5739410000000
Christopherfurt,1/5/19 22:21,33.51,5739410000000
South Michelleport,4/22/19 3:15,43.62,5739410000000
Williamsstad,2/13/19 20:07,33.72,5739410000000
Lake Jonathanshire,4/7/19 18:09,24.28,5739410000000
Robertport,3/20/19 19:11,20.21,5739410000000
Port Angela,2/8/19 16:30,30.38,5739410000000
Barajasview,2/8/19 18:07,24.49,5739410000000
South Evanton,1/24/19 7:08,17.83,5739410000000
Lake Danielberg,2/13/19 11:01,43.96,5739410000000
Royland,4/19/19 0:05,25.4,5739410000000
Rodneyfort,2/8/19 7:35,30.02,5739410000000
East Kaylahaven,1/17/19 10:15,40.82,5739410000000
West Christopherberg,1/17/19 14:30,9.04,5739410000000
New Jacobville,1/15/19 15:27,27.24,5739410000000
Lake Jonathanshire,1/2/19 14:14,13.89,5739410000000
Port Samanthamouth,4/25/19 9:50,25.5,5739410000000
West Heidi,3/26/19 9:45,22.33,5739410000000
Karenside,4/14/19 5:11,13.13,5739410000000
Valentineton,2/1/19 14:11,9.68,5739410000000
Raymondhaven,2/23/19 11:13,4.24,5739410000000
Carriemouth,3/11/19 21:35,16.78,5739410000000
West Josephberg,1/16/19 16:17,7.04,5739410000000
Port Samanthamouth,3/1/19 8:58,43.25,5739410000000
Karenberg,3/30/19 11:38,24.64,5739410000000
New Paulton,3/10/19 1:07,28,5739410000000
Joneschester,2/7/19 18:36,6.34,5739410000000
North Jasmine,2/8/19 19:03,4.86,5739410000000
Valentineton,2/27/19 0:40,25.4,5739410000000
New Paulton,2/20/19 16:59,24.29,5739410000000
South Evanton,4/28/19 8:15,22.86,5739410000000
North Jasmine,1/22/19 17:25,31.68,5739410000000
West Anthony,3/17/19 0:30,35.42,5739410000000
Jerryton,4/29/19 2:49,41.27,5739410000000
Grahamburgh,1/9/19 7:00,13.55,5739410000000
South Jack,3/30/19 20:21,4.2,5739410000000
West Christopherberg,1/23/19 21:23,30.93,5739410000000
Lake Scottton,3/26/19 0:49,9.79,5739410000000
West Patrickchester,1/14/19 1:15,24.82,5739410000000
Royland,1/17/19 14:08,27.92,5739410000000
South Karenland,2/14/19 14:00,39.53,5739410000000
Erikaland,3/27/19 13:11,36.52,5739410000000
Rodneyfort,3/20/19 10:40,42.57,5739410000000
Williamsstad,5/1/19 1:26,26.81,5739410000000
Richardfort,2/13/19 12:46,14,5739410000000
West Ericstad,1/25/19 12:29,20.03,5739410000000
Grahamburgh,3/5/19 5:39,4.33,5739410000000
North Barbara,5/4/19 2:33,24.09,5739410000000
West Robert,1/4/19 6:10,35.35,5739410000000
Justinberg,3/14/19 10:46,36.32,5739410000000
South Michelleport,3/3/19 16:13,41.62,5739410000000
North Jasmine,2/22/19 1:56,25.33,5739410000000
Barajasview,3/1/19 11:06,28.25,5739410000000
Carriemouth,4/4/19 13:22,12.91,5739410000000
Amandaburgh,2/24/19 23:10,43.66,5739410000000
Johnton,3/27/19 0:10,18.89,5739410000000
Port Angela,3/4/19 3:26,40.35,5739410000000
Rodneyfort,5/6/19 22:21,27.16,5739410000000
Amandaburgh,2/10/19 20:42,36.17,5739410000000
North Madeline,2/25/19 4:32,13.58,5739410000000
West Angela,3/1/19 11:13,30.3,5739410000000
Joneschester,1/3/19 5:45,25.47,5739410000000
Joneschester,1/3/19 1:03,17.97,5739410000000
South Phillip,1/29/19 11:26,35.23,5739410000000
Liumouth,3/30/19 3:13,4.66,5739410000000
West Anthony,1/10/19 2:31,32.34,5739410000000
North Jason,2/26/19 11:57,13.88,5739410000000
North Jason,3/21/19 9:45,10.42,5739410000000
Carriemouth,4/28/19 14:28,11.46,5739410000000
Huntermouth,5/4/19 15:20,36.77,5739410000000
South Phillip,4/18/19 6:03,39.95,5739410000000
South Jack,2/1/19 22:32,28.37,5739410000000
Port Johnbury,5/5/19 6:26,25.3,5739410000000
South Phillip,5/6/19 5:05,43.43,5739410000000
North Jasmine,4/10/19 11:45,38.24,5739410000000
South Michelleport,1/27/19 19:38,15.45,5739410000000
North Madeline,4/7/19 8:54,32.99,5739410000000
Christopherfurt,2/24/19 2:56,40.33,5739410000000
Williamsstad,2/23/19 17:42,4.68,5739410000000
Martinezhaven,4/18/19 1:40,34.7,5739410000000
Simpsonburgh,4/3/19 8:47,4.74,5739410000000
New Jacobville,2/4/19 4:57,27.63,5739410000000
South Karenland,2/12/19 3:42,5.78,5739410000000
Royland,1/27/19 1:01,24.56,5739410000000
Karenside,1/22/19 13:11,24.72,5739410000000
West Robert,5/5/19 5:18,10.15,5739410000000
Port Samanthamouth,4/27/19 8:48,12.84,5739410000000
West Samuelburgh,3/7/19 1:51,14.55,5739410000000
New Kimberlyborough,3/29/19 20:35,42.51,5739410000000
Port David,3/27/19 11:56,15.64,5739410000000
Karenside,3/18/19 12:48,36.96,5739410000000
New Paulton,2/8/19 17:11,39.65,5739410000000
West Ericstad,1/8/19 9:03,32.99,5739410000000
Port Johnbury,3/21/19 2:20,32.8,5739410000000
Port Samanthamouth,3/27/19 0:31,16.05,5739410000000
Port Frank,1/8/19 23:51,42.13,5739410000000
Lake Jonathanshire,4/6/19 11:30,16.84,5739410000000
West Angela,2/5/19 18:53,36.37,5739410000000
Port Samanthamouth,3/27/19 1:08,21.46,5739410000000
North Madeline,3/4/19 17:20,21.38,5739410000000
Williamsview,1/15/19 0:10,44.33,5739410000000
Grahamburgh,2/21/19 6:55,22.65,5739410000000
South Evanton,3/6/19 3:56,30.87,5739410000000
Loganberg,3/27/19 13:32,4.72,5739410000000
Carriemouth,2/21/19 16:38,44.18,5739410000000
Port David,1/2/19 11:51,7.45,5739410000000
West Heidi,1/30/19 12:59,30.84,5739410000000
Williamsstad,3/5/19 2:33,25.02,5739410000000
North Barbara,2/4/19 8:12,42.59,5739410000000
Lake Danielberg,3/17/19 19:23,10.18,5739410000000
North Markport,4/13/19 7:37,20.09,5739410000000
Port Angela,5/2/19 4:14,35.76,5739410000000
Port Samanthamouth,3/15/19 15:08,25.97,5739410000000
West Angela,5/3/19 9:04,24.07,5739410000000
Leahton,2/21/19 20:37,24.13,5739410000000
North Markport,4/28/19 4:34,40.46,5739410000000
Karenside,3/9/19 3:50,40.86,5739410000000
Jerryton,1/7/19 12:05,7.86,5739410000000
South Michelleport,4/14/19 1:20,37.93,5739410000000
Valentineton,3/25/19 20:45,22.53,5739410000000
East Kaylahaven,4/9/19 16:57,10.03,5739410000000
Erikaland,4/13/19 12:26,25.22,5739410000000
West Christopherberg,1/8/19 8:25,37.78,5739410000000
Pattyland,2/1/19 22:43,32.03,5739410000000
Deanville,2/8/19 23:33,21.22,5739410000000
West Christopherberg,3/21/19 0:14,43.87,5739410000000
Justinberg,3/23/19 6:28,30.58,5739410000000
Lake Danielberg,2/24/19 19:34,34.82,5739410000000
Port Samanthamouth,1/30/19 1:19,38.78,5739410000000
Lake Danielberg,2/28/19 15:08,44.96,5739410000000
Deanville,4/15/19 1:36,24.3,5739410000000
Pattyland,2/15/19 15:13,44.03,5739410000000
Karenside,1/27/19 8:52,7.65,5739410000000
Port Angela,4/22/19 16:43,7.91,5739410000000
West Angela,4/14/19 18:40,32.77,5739410000000
South Karenland,3/26/19 6:12,35.5,5739410000000
New Jacobville,2/18/19 21:09,39.97,5739410000000
Roberthaven,3/14/19 16:12,36.84,5739410000000
Lake Scottton,4/24/19 11:54,5.31,5739410000000
Amandaburgh,1/11/19 2:22,29.24,5739410000000
Reynoldsfurt,5/5/19 17:38,14.95,5739410000000
West Patrickchester,2/9/19 5:54,16.1,5739410000000
Christopherfurt,4/13/19 8:29,37.22,5739410000000
South Evanton,4/27/19 0:58,27.78,5739410000000
Lake Scottton,2/7/19 5:08,10.76,5739410000000
Roberthaven,3/14/19 15:24,35.27,5739410000000
Rodneyfort,3/4/19 15:13,28.69,5739410000000
West Josephberg,2/17/19 6:28,41.49,5739410000000
Lake Jonathanshire,3/21/19 0:18,37.95,5739410000000
Simpsonburgh,2/5/19 16:02,25.58,5739410000000
West Heidi,3/19/19 3:15,5.65,5739410000000
North Barbara,3/23/19 20:59,23.76,5739410000000
North Jasmine,3/11/19 21:03,37.93,5739410000000
West Gabriel,4/29/19 1:22,36.7,5739410000000
Liumouth,4/14/19 6:43,31.63,5739410000000
Carriemouth,3/2/19 15:40,28.04,5739410000000
West Robert,3/24/19 15:21,34.9,5739410000000
North Jasmine,5/2/19 10:24,29.86,5739410000000
Carriemouth,3/21/19 15:40,44.64,5739410000000
Lake Scottton,2/15/19 6:49,22.75,5739410000000
North Madeline,4/12/19 13:57,7.77,5739410000000
Lake Danielberg,1/7/19 9:41,17.39,5739410000000
North Madeline,4/30/19 16:02,37.48,5739410000000
Port David,1/7/19 20:03,20.49,5739410000000
Royland,2/11/19 3:46,30.41,5739410000000
West Samuelburgh,2/20/19 1:05,19.65,5739410000000
West Angela,3/18/19 12:08,34.05,5739410000000
West Patrickchester,3/6/19 4:19,32.37,5739410000000
Port Frank,2/5/19 10:34,20.1,5739410000000
New Kimberlyborough,2/9/19 5:48,39.55,5739410000000
Justinberg,4/20/19 7:37,29.07,5739410000000
West Angela,4/18/19 12:07,16.18,5739410000000
Justinberg,3/10/19 9:19,37.89,5739410000000
Valentineton,1/10/19 17:29,19.91,5739410000000
Williamsview,4/7/19 0:32,18.92,5739410000000
South Jack,1/31/19 2:51,21.75,5739410000000
Port Frank,2/18/19 18:49,39.06,5739410000000
Leahton,2/13/19 11:40,16.79,5739410000000
South Michelleport,2/22/19 7:44,22.52,5739410000000
South Karenland,4/25/19 14:44,24.86,5739410000000
Richardfort,2/16/19 13:52,17.92,5739410000000
Williamsstad,4/16/19 23:07,23.12,5739410000000
South Michelleport,2/12/19 7:41,27.7,5739410000000
West Patrickchester,4/13/19 19:49,33.33,5739410000000
Martinezhaven,4/18/19 18:37,5.81,5739410000000
North Jason,1/23/19 22:51,21.95,5739410000000
North Jason,4/18/19 12:19,22.42,5739410000000
Lake Scottton,5/3/19 22:33,9.01,5739410000000
West Christopherberg,3/1/19 21:33,11.97,5739410000000
North Markport,4/10/19 22:15,38.02,5739410000000
Christopherfurt,4/9/19 0:32,29.96,5739410000000
North Madeline,1/29/19 16:12,17.57,5739410000000
Richardfort,2/1/19 20:18,10.26,5739410000000
South Phillip,1/25/19 5:04,38.15,5739410000000
East Kaylahaven,2/11/19 0:24,43.19,5739410000000
Rodneyfort,4/11/19 2:57,36.3,5739410000000
Pattyland,4/26/19 8:31,19.99,5739410000000
South Karenland,3/24/19 23:37,41.44,5739410000000
Port David,3/24/19 21:58,28.84,5739410000000
Rodneyfort,3/10/19 5:23,29.13,5739410000000
New Paulton,2/2/19 16:37,17.19,5739410000000
Williamsstad,3/12/19 1:39,18.67,5739410000000
South Michelleport,1/29/19 20:40,9.79,5739410000000
West Christopherberg,3/21/19 2:57,21.41,5739410000000
Lake Scottton,3/25/19 21:46,36.92,5739410000000
Port Angela,3/19/19 12:32,17.21,5739410000000
Christopherfurt,4/17/19 22:12,32.39,5739410000000
Joneschester,2/27/19 8:19,33.34,5739410000000
Loganberg,1/25/19 1:59,26.03,5739410000000
South Phillip,2/19/19 13:19,33.07,5739410000000
Deanville,1/23/19 13:00,42.45,5739410000000
New Kimberlyborough,1/30/19 21:46,29.09,5739410000000
Port Johnbury,4/11/19 10:26,9.1,5739410000000
West Patrickchester,4/19/19 3:26,44.5,5739410000000
West Robert,1/11/19 11:10,5.16,5739410000000
New Paulton,3/28/19 3:35,14.94,5739410000000
South Latoya,3/19/19 16:19,31.72,5739410000000
Robertport,2/18/19 15:01,43.47,5739410000000
Valentineton,1/19/19 19:40,6.71,5739410000000
South Latoya,1/18/19 20:09,10.98,5739410000000
Simpsonburgh,1/12/19 4:35,24.83,5739410000000
West Patrickchester,2/12/19 16:33,22.64,5739410000000
Richardfort,4/17/19 2:26,23,5739410000000
Hurleymouth,2/20/19 10:47,17.07,5739410000000
Leahton,1/27/19 8:09,29.36,5739410000000
West Anthony,4/29/19 1:12,27.04,5739410000000
New Kimberlyborough,1/5/19 9:33,39.47,5739410000000
South Latoya,3/19/19 22:03,40.29,5739410000000
Williamsstad,4/12/19 12:30,17.57,5739410000000
South Karenland,2/1/19 19:45,31.64,5739410000000
North Jason,4/16/19 15:23,24.07,5739410000000
West Angela,1/27/19 9:35,9.24,5739410000000
Lake Danielberg,2/8/19 5:58,10.31,5739410000000
Port Samanthamouth,4/6/19 13:42,24.18,5739410000000
New Jacobville,2/9/19 2:25,37.51,5739410000000
New Kimberlyborough,3/10/19 13:55,10.83,5739410000000
New Kimberlyborough,1/8/19 18:59,13.34,5739410000000
Karenberg,3/5/19 1:38,44.1,5739410000000
South Phillip,4/11/19 10:09,21.06,5739410000000
Loganberg,1/20/19 1:34,38.66,5739410000000
Carriemouth,5/1/19 4:53,10.97,5739410000000
West Patrickchester,1/21/19 14:48,19.44,5739410000000
Martinezhaven,2/7/19 21:45,4.31,5739410000000
Karenside,1/8/19 8:49,22.64,5739410000000
North Jason,3/24/19 7:40,32.72,5739410000000
Lake Danielberg,3/28/19 9:56,28.53,5739410000000
Pattyland,4/3/19 3:29,14.06,5739410000000
Pattyland,2/21/19 17:53,7.06,5739410000000
Loganberg,1/11/19 4:27,44.34,5739410000000
Leahton,2/28/19 13:10,9.08,5739410000000
Reynoldsfurt,1/17/19 21:35,24.84,5739410000000
Raymondhaven,2/22/19 23:54,7.64,5739410000000
South Latoya,2/12/19 22:59,5.54,5739410000000
Lake Scottton,1/18/19 2:32,31.92,5739410000000
Port David,2/24/19 22:20,35.63,5739410000000
Roberthaven,4/5/19 14:01,31.09,5739410000000
Rogerston,3/24/19 2:56,39.6,5739410000000
Karenberg,4/27/19 14:57,44.73,5739410000000
Martinezhaven,4/14/19 16:26,32.57,5739410000000
South Evanton,1/20/19 23:10,25.94,5739410000000
North Jasmine,4/26/19 12:08,35.33,5739410000000
Hurleymouth,1/12/19 1:19,10.64,5739410000000
West Robert,3/7/19 15:57,12.22,5739410000000
Deanville,4/21/19 23:32,33.37,5739410000000
South Michelleport,1/9/19 1:48,10.68,5739410000000
Royland,2/2/19 12:51,42.52,5739410000000
Rodneyfort,4/10/19 23:38,25.4,5739410000000
North Madeline,1/12/19 9:42,20.82,5739410000000
Lake Danielberg,4/28/19 4:00,39.82,5739410000000
Port Johnbury,5/2/19 12:46,42.42,5739410000000
Richardfort,4/21/19 3:44,9.54,5739410000000
Liumouth,3/22/19 4:06,33.1,5739410000000
Roberthaven,1/21/19 19:25,23.14,5739410000000
Amandaburgh,1/21/19 4:12,9.26,5739410000000
South Evanton,4/25/19 0:37,26.84,5739410000000
Port Samanthamouth,3/25/19 13:20,34.94,5739410000000
South Michelleport,3/13/19 4:21,10.44,5739410000000
North Madeline,1/14/19 3:43,31.88,5739410000000
Hurleymouth,3/17/19 6:50,29.95,5739410000000
Port David,4/10/19 14:27,26.68,5739410000000
Pattyland,2/10/19 2:55,24.39,5739410000000
Liumouth,3/17/19 19:21,19.05,5739410000000
Robertport,4/3/19 1:20,15.14,5739410000000
Hurleymouth,4/1/19 6:26,9.94,5739410000000
West Samuelburgh,4/17/19 11:25,15.03,5739410000000
South Phillip,3/18/19 4:11,17.57,5739410000000
West Josephberg,1/29/19 2:13,7.58,5739410000000
Roberthaven,2/16/19 10:23,14.95,5739410000000
West Christopherberg,3/27/19 23:57,21.55,5739410000000
Christopherfurt,3/30/19 13:15,31.3,5739410000000
Hurleymouth,2/1/19 3:23,22.39,5739410000000
Port Frank,3/16/19 20:54,30.24,5739410000000
Lake Danielberg,1/16/19 11:59,20.07,5739410000000
West Ericstad,3/28/19 13:29,22.28,5739410000000
Karenside,3/11/19 16:18,44.29,5739410000000
South Evanton,3/17/19 0:31,36.31,5739410000000
West Heidi,5/5/19 15:47,37.75,5739410000000
Robertport,2/28/19 22:50,13.39,5739410000000
South Jack,1/5/19 11:31,13.14,5739410000000
West Josephberg,2/28/19 18:19,11.1,5739410000000
Port Frank,3/26/19 19:09,28.83,5739410000000
Barajasview,2/19/19 2:25,26.83,5739410000000
Justinberg,1/3/19 22:50,5.81,5739410000000
North Barbara,4/17/19 2:49,39.18,5739410000000
West Angela,3/8/19 13:24,4.92,5739410000000
South Latoya,3/19/19 7:54,30.03,5739410000000
Hurleymouth,1/18/19 10:59,4.66,5739410000000
Johnton,4/5/19 7:12,22.87,5739410000000
Carriemouth,3/27/19 2:11,38.69,5739410000000
Reynoldsfurt,4/19/19 0:56,13.63,5739410000000
Christopherfurt,3/16/19 19:46,19.61,5739410000000
Liumouth,4/28/19 0:26,5.42,5739410000000
New Kimberlyborough,3/19/19 7:17,15.78,5739410000000
Martinezhaven,3/7/19 12:26,23.55,5739410000000
East Kaylahaven,4/6/19 16:17,35.79,5739410000000
Simpsonburgh,4/26/19 9:31,33.71,5739410000000
Lake Jonathanshire,1/28/19 0:07,5.67,5739410000000
Robertport,4/19/19 19:45,39.57,5739410000000
South Karenland,3/20/19 10:34,33.24,5739410000000
Raymondhaven,3/7/19 20:59,17.66,5739410000000
Port David,2/18/19 14:47,20.16,5739410000000
Royland,2/20/19 19:14,38.28,5739410000000
East Kaylahaven,1/29/19 7:28,41.62,5739410000000
Valentineton,2/23/19 11:46,19.99,5739410000000
Martinezhaven,3/12/19 10:02,21.18,5739410000000
South Phillip,2/19/19 20:47,28.62,5739410000000
Royland,5/4/19 2:54,15.14,5739410000000
West Heidi,2/5/19 19:24,24.32,5739410000000
East Kaylahaven,2/28/19 16:46,33.72,5739410000000
New Kimberlyborough,4/3/19 16:27,14.73,5739410000000
South Karenland,1/10/19 23:48,37.58,5739410000000
Richardfort,2/3/19 0:14,29.04,5739410000000
Justinberg,3/10/19 5:15,22.43,5739410000000
Huntermouth,3/21/19 8:44,32.42,5739410000000
Roberthaven,3/22/19 4:19,34.69,5739410000000
West Heidi,3/11/19 16:10,43.45,5739410000000
Raymondhaven,2/17/19 2:06,39.7,5739410000000
Karenside,4/16/19 23:13,39.32,5739410000000
Rogerston,3/16/19 20:49,43.82,5739410000000
Port Johnbury,4/28/19 16:29,36.42,5739410000000
West Josephberg,1/18/19 12:47,43.85,5739410000000
